bodyId,type,instance,somaSide
156196,T5a,T5a_R,R
156202,T4a,T4a_R,R
156215,T4c,T4c_L,L
156217,T4d,T4d_L,L
156224,T5b,T5b_R,R
156239,T4d,T4d_L,L
156240,T4c,T4c_R,R
156310,T5c,T5c_R,R
156321,T5b,T5b_R,R
156331,T5c,T5c_R,R
156333,T5c,T5c_R,R
156337,T4d,T4d_L,L
156418,T5b,T5b_L,L
156421,T4a,T4a_L,L
156442,T5a,T5a_R,R
156497,T5b,T5b_R,R
156519,T5a,T5a_R,R
156521,T5d,T5d_R,R
156563,T5b,T5b_R,R
156576,T4d,T4d_R,R
156597,T5a,T5a_R,R
156601,T5a,T5a_L,L
156610,T5b,T5b_L,L
156660,T4c,T4c_R,R
156684,T5b,T5b_R,R
156691,T5a,T5a_R,R
156698,T5a,T5a_L,L
156790,T4b,T4b_L,L
156841,T4c,T4c_R,R
156882,T4c,T4c_L,L
156886,T5a,T5a_R,R
156898,T5b,T5b_R,R
156909,T5a,T5a_R,R
156950,T5c,T5c_L,L
156968,T5b,T5b_R,R
157000,T5a,T5a_L,L
157011,T5c,T5c_L,L
157031,T5a,T5a_R,R
157081,T5a,T5a_R,R
157121,T5d,T5d_L,L
157151,T5a,T5a_L,L
157158,T4d,T4d_L,L
157187,T5a,T5a_L,L
157268,T5d,T5d_L,L
157366,T4d,T4d_R,R
157390,T4b,T4b_L,L
157415,T5c,T5c_L,L
157452,T5d,T5d_R,R
157470,T5a,T5a_R,R
157499,T4a,T4a_L,L
157543,T5d,T5d_L,L
157544,T4d,T4d_L,L
157546,T5b,T5b_L,L
157581,T5b,T5b_R,R
157645,T5d,T5d_R,R
157730,T5a,T5a_R,R
157745,T4d,T4d_L,L
157769,T5c,T5c_R,R
157795,T4a,T4a_L,L
157808,T5c,T5c_L,L
157840,T5d,T5d_R,R
157861,T4c,T4c_L,L
157878,T4a,T4a_R,R
157885,T4a,T4a_R,R
157954,T4c,T4c_R,R
157956,T5a,T5a_R,R
157994,T5d,T5d_L,L
158000,T4b,T4b_L,L
158005,T5d,T5d_L,L
158010,T5d,T5d_L,L
158013,T5d,T5d_R,R
158044,T4b,T4b_L,L
158056,T5d,T5d_L,L
158060,T5b,T5b_R,R
158074,T5c,T5c_L,L
158076,T4b,T4b_L,L
158139,T5c,T5c_R,R
158151,T4a,T4a_L,L
158154,T4b,T4b_L,L
158177,T5a,T5a_L,L
158187,T4c,T4c_L,L
158209,T5d,T5d_L,L
158229,T5c,T5c_R,R
158271,T5c,T5c_R,R
158301,T5d,T5d_R,R
158356,T4d,T4d_L,L
158373,T5c,T5c_R,R
158377,T5b,T5b_L,L
158408,T4b,T4b_R,R
158439,T5a,T5a_L,L
158455,T5d,T5d_L,L
158496,T5c,T5c_R,R
158530,T5a,T5a_L,L
158560,T4d,T4d_L,L
158594,T5a,T5a_L,L
158602,T4a,T4a_R,R
158640,T4a,T4a_L,L
158688,T4d,T4d_L,L
158697,T4b,T4b_R,R
158711,T5c,T5c_R,R
158741,T5a,T5a_R,R
158777,T5d,T5d_R,R
158795,T5b,T5b_R,R
158824,T5b,T5b_R,R
158874,T4c,T4c_L,L
158895,T4a,T4a_L,L
158899,T5b,T5b_L,L
158901,T5d,T5d_R,R
158951,T5a,T5a_R,R
158983,T5a,T5a_R,R
159009,T4d,T4d_L,L
159015,T5a,T5a_R,R
159060,T5c,T5c_R,R
159143,T5d,T5d_L,L
159144,T4a,T4a_L,L
159209,T5b,T5b_R,R
159268,T4b,T4b_L,L
159321,T4c,T4c_L,L
159359,T5d,T5d_R,R
159372,T5b,T5b_L,L
159375,T5d,T5d_L,L
159385,T5a,T5a_L,L
159422,T4c,T4c_L,L
159441,T5b,T5b_R,R
159508,T4c,T4c_L,L
159544,T4c,T4c_R,R
159556,T5d,T5d_R,R
159600,T4b,T4b_L,L
159609,T4a,T4a_L,L
159656,T4a,T4a_R,R
159658,T5d,T5d_L,L
159718,T5a,T5a_R,R
159726,T4b,T4b_L,L
159763,T5d,T5d_R,R
159864,T5d,T5d_L,L
159880,T5a,T5a_R,R
159913,T5b,T5b_L,L
159954,T5a,T5a_L,L
159990,T4d,T4d_L,L
160017,T4a,T4a_L,L
160036,T5a,T5a_R,R
160115,T5c,T5c_R,R
160157,T5c,T5c_L,L
160169,T5b,T5b_R,R
160198,T4c,T4c_L,L
160215,T4d,T4d_L,L
160339,T5c,T5c_R,R
160389,T4c,T4c_L,L
160397,T5c,T5c_L,L
160495,T5a,T5a_L,L
160551,T5d,T5d_L,L
160554,T4a,T4a_L,L
160559,T5c,T5c_R,R
160570,T5d,T5d_R,R
160583,T5a,T5a_R,R
160606,T5c,T5c_R,R
160624,T4a,T4a_R,R
160725,T5c,T5c_R,R
160727,T5d,T5d_R,R
160776,T5b,T5b_L,L
160790,T5d,T5d_R,R
160811,T4c,T4c_L,L
160890,T4a,T4a_L,L
160899,T5c,T5c_L,L
160904,T5c,T5c_L,L
160937,T5d,T5d_R,R
161063,T5b,T5b_L,L
161069,T5d,T5d_R,R
161076,T5a,T5a_R,R
161087,T4b,T4b_L,L
161160,T4a,T4a_L,L
161182,T5d,T5d_L,L
161199,T4c,T4c_R,R
161201,T5c,T5c_R,R
161264,T4c,T4c_L,L
161317,T5a,T5a_L,L
161349,T4c,T4c_L,L
161350,T5a,T5a_L,L
161352,T5c,T5c_L,L
161397,T5c,T5c_L,L
161401,T5c,T5c_L,L
161411,T4c,T4c_L,L
161524,T4d,T4d_R,R
161598,T4a,T4a_L,L
161651,T5c,T5c_R,R
161703,T5a,T5a_L,L
161828,T5b,T5b_R,R
161887,T4b,T4b_L,L
161918,T4b,T4b_L,L
161957,T4c,T4c_R,R
162136,LC11,LC11_L,L
162180,T5c,T5c_R,R
162186,T4a,T4a_L,L
162197,T4c,T4c_R,R
162213,T5c,T5c_R,R
162252,T4b,T4b_L,L
162253,T4a,T4a_L,L
162268,T4b,T4b_L,L
162279,T5a,T5a_R,R
162289,T5a,T5a_L,L
162297,T5d,T5d_L,L
162331,T4a,T4a_R,R
162397,T5a,T5a_R,R
162515,T5a,T5a_L,L
162553,T4a,T4a_L,L
162597,T5a,T5a_R,R
162609,T4a,T4a_L,L
162634,T5d,T5d_L,L
162672,T5d,T5d_R,R
162737,T4b,T4b_L,L
162743,T4b,T4b_L,L
162754,T5b,T5b_L,L
162760,T4a,T4a_L,L
162794,T4b,T4b_L,L
162808,T4b,T4b_R,R
162922,T4c,T4c_L,L
162968,T4b,T4b_L,L
162990,T5a,T5a_L,L
163014,T4a,T4a_L,L
163018,T5b,T5b_R,R
163055,T4a,T4a_L,L
163178,T5b,T5b_R,R
163193,T5a,T5a_L,L
163231,T5a,T5a_L,L
163245,T4d,T4d_R,R
163356,T5b,T5b_L,L
163359,T4c,T4c_L,L
163397,T5a,T5a_L,L
163442,T5b,T5b_R,R
163457,T5a,T5a_R,R
163464,T5c,T5c_R,R
163474,T5c,T5c_L,L
163479,T4c,T4c_L,L
163501,T5b,T5b_L,L
163510,T5c,T5c_L,L
163548,T5d,T5d_R,R
163551,T5c,T5c_R,R
163691,T5b,T5b_L,L
163736,T4a,T4a_L,L
163789,T5b,T5b_R,R
163871,T5d,T5d_R,R
163878,T5c,T5c_R,R
163913,T5c,T5c_L,L
163928,T5c,T5c_R,R
163944,T5d,T5d_L,L
163946,T5d,T5d_R,R
163955,T4a,T4a_L,L
164034,T4c,T4c_L,L
164044,T4a,T4a_L,L
164049,T5c,T5c_R,R
164058,T5a,T5a_R,R
164064,T4c,T4c_L,L
164082,T4a,T4a_R,R
164129,T5a,T5a_L,L
164146,T5b,T5b_L,L
164251,T5d,T5d_L,L
164320,T5d,T5d_R,R
164415,T5a,T5a_L,L
164446,T4a,T4a_L,L
164461,T5c,T5c_R,R
164464,T5c,T5c_L,L
164502,T4d,T4d_L,L
164523,T5c,T5c_L,L
164586,T5b,T5b_L,L
164623,T5a,T5a_R,R
164726,T5d,T5d_R,R
164781,T5b,T5b_R,R
164804,T5b,T5b_R,R
164846,T5b,T5b_R,R
164893,T5a,T5a_L,L
164912,T4b,T4b_L,L
164925,T5c,T5c_R,R
164991,T5d,T5d_L,L
165058,T4a,T4a_L,L
165071,T5a,T5a_R,R
165090,T5d,T5d_L,L
165111,T4d,T4d_R,R
165171,T4d,T4d_L,L
165213,T4d,T4d_L,L
165219,T5c,T5c_R,R
165262,T4d,T4d_L,L
165271,T4d,T4d_L,L
165303,T5d,T5d_R,R
165321,T5a,T5a_R,R
165358,T4b,T4b_L,L
165464,T4a,T4a_L,L
165499,T5b,T5b_L,L
165543,T4b,T4b_R,R
165635,T4b,T4b_L,L
165645,T5c,T5c_R,R
165656,T5b,T5b_L,L
165665,T4a,T4a_L,L
165707,T5d,T5d_R,R
165741,T4a,T4a_L,L
165824,T5a,T5a_L,L
165844,T5a,T5a_L,L
165872,T5a,T5a_L,L
165906,T4b,T4b_L,L
165918,T5d,T5d_R,R
165934,T5d,T5d_R,R
165999,T5a,T5a_R,R
166017,T5b,T5b_R,R
166048,T5c,T5c_L,L
166050,T5d,T5d_L,L
166060,T5c,T5c_R,R
166068,T5b,T5b_R,R
166080,T4d,T4d_L,L
166086,T5b,T5b_L,L
166088,T5d,T5d_L,L
166105,T5d,T5d_L,L
166164,T4a,T4a_L,L
166177,T5c,T5c_L,L
166232,T5c,T5c_R,R
166312,T4c,T4c_L,L
166329,T5a,T5a_R,R
166343,T4b,T4b_L,L
166441,T5c,T5c_R,R
166459,T5d,T5d_L,L
166486,T4d,T4d_L,L
166639,T5c,T5c_R,R
166689,T4d,T4d_L,L
166703,T4a,T4a_L,L
166726,T4c,T4c_L,L
166766,T5c,T5c_L,L
166785,T5d,T5d_L,L
166793,T5b,T5b_R,R
166812,T5d,T5d_L,L
166814,T5d,T5d_R,R
166875,T4d,T4d_L,L
166901,T4d,T4d_L,L
167003,T4d,T4d_R,R
167041,T5b,T5b_L,L
167068,T5c,T5c_R,R
167080,T5a,T5a_R,R
167190,T5a,T5a_L,L
167333,T4b,T4b_L,L
167337,T5b,T5b_R,R
167341,T5b,T5b_L,L
167354,T4b,T4b_L,L
167385,T4b,T4b_L,L
167417,T5d,T5d_R,R
167510,T4c,T4c_L,L
167516,T4b,T4b_L,L
167544,T5c,T5c_L,L
167551,T5d,T5d_R,R
167582,T4d,T4d_L,L
