bodyId,type,instance,somaSide
188965,T4c,T4c_R,R
189135,T5c,T5c_L,L
189153,T5b,T5b_L,L
189191,T5c,T5c_L,L
189407,T4a,T4a_L,L
189488,T5a,T5a_L,L
189591,T5d,T5d_L,L
189625,T4d,T4d_L,L
189629,T4a,T4a_L,L
189650,T5b,T5b_L,L
189724,T5b,T5b_L,L
189867,T5a,T5a_L,L
189881,T4d,T4d_L,L
189882,T4c,T4c_R,R
189884,T5b,T5b_L,L
190082,T4c,T4c_L,L
190088,T5c,T5c_L,L
190103,T5d,T5d_L,L
190164,T4b,T4b_L,L
190185,T5a,T5a_L,L
190215,T4c,T4c_L,L
190293,T5a,T5a_L,L
190300,T5d,T5d_L,L
190329,T4c,T4c_L,L
190438,T4c,T4c_L,L
190469,T5d,T5d_L,L
190527,T5a,T5a_L,L
190627,T5d,T5d_L,L
190782,T4c,T4c_L,L
190802,T5b,T5b_L,L
190817,T5a,T5a_L,L
191040,T5d,T5d_L,L
191190,T4a,T4a_L,L
191227,T4d,T4d_L,L
191229,T5c,T5c_L,L
191296,T4b,T4b_L,L
191364,T5d,T5d_L,L
191375,T5b,T5b_R,R
191389,T4b,T4b_L,L
191475,T5a,T5a_L,L
191482,T4b,T4b_L,L
191561,T5d,T5d_L,L
191616,T4a,T4a_L,L
191620,T4c,T4c_L,L
191630,T5c,T5c_L,L
191978,T5c,T5c_L,L
192035,T5b,T5b_R,R
192047,T5a,T5a_L,L
192064,T5a,T5a_L,L
192145,T4d,T4d_L,L
192148,T4d,T4d_R,R
192298,T4c,T4c_L,L
192417,T5a,T5a_L,L
192514,T4b,T4b_L,L
192587,T5d,T5d_L,L
192599,T5b,T5b_L,L
192646,T5a,T5a_L,L
192729,T5c,T5c_L,L
192732,T5c,T5c_R,R
192746,T5d,T5d_L,L
192752,T4b,T4b_L,L
192834,T5d,T5d_L,L
192855,T5d,T5d_L,L
192868,T5b,T5b_L,L
192910,T5b,T5b_L,L
192953,T4c,T4c_L,L
193003,T5d,T5d_L,L
193004,T5d,T5d_L,L
193199,T4b,T4b_R,R
193263,T5d,T5d_L,L
